"","iter","fpa","fna"
"1",0,1,44
"2",1,1,43
"3",2,1,42
"4",3,1,41
"5",4,2,41
"6",5,2,40
"7",6,2,39
"8",7,2,38
"9",8,3,38
"10",9,4,38
"11",10,5,38
"12",70,6,38
"13",71,7,38
"14",72,8,38
"15",79,8,37
"16",80,9,37
"17",81,10,37
"18",83,10,36
