"","jaccard","spear","type"
"1",0.825396825396825,0.953572377479282,"sparse"
"2",0.791666666666667,0.892770981477334,"sparse"
"3",0.6625,0.905687114284575,"sparse"
"4",0.653846153846154,0.787141481642174,"sparse"
"5",0.726315789473684,0.899040399183684,"sparse"
"6",0.853658536585366,0.953082023917436,"sparse"
"7",0.706666666666667,0.902358475753881,"sparse"
"8",0.8,0.923527151831153,"sparse"
"9",0.652631578947368,0.906568351240523,"sparse"
"10",0.830508474576271,0.912138148104186,"sparse"
"11",0.810344827586207,0.947993393087418,"sparse"
"12",0.75,0.856409737743294,"sparse"
"13",0.741176470588235,0.926943370954724,"sparse"
"14",0.9,0.980805335515699,"sparse"
"15",0.703703703703704,0.832445995038256,"sparse"
"16",0.826923076923077,0.972910010226102,"sparse"
"17",0.8125,0.978940852712689,"sparse"
"18",0.828571428571429,0.939670224290608,"sparse"
"19",0.675675675675676,0.904567264479656,"sparse"
"20",0.709090909090909,0.903146534326895,"sparse"
"21",0.961538461538462,1,"sparse"
"22",0.847826086956522,0.946872883728048,"sparse"
"23",0.904761904761905,0.999242304017369,"sparse"
"24",0.72,0.885705499031347,"sparse"
"25",0.851063829787234,0.935063616235436,"sparse"
"26",0.745454545454545,0.880341967877726,"sparse"
"27",0.830508474576271,0.95539612121012,"sparse"
"28",0.776315789473684,0.916756350031076,"sparse"
"29",0.891891891891892,0.986916106083061,"sparse"
"30",0.828571428571429,0.904082593318476,"sparse"
"31",0.833333333333333,0.935248507553871,"sparse"
"32",0.909090909090909,0.975572775638788,"sparse"
"33",0.902439024390244,0.962344813649352,"sparse"
"34",0.783783783783784,0.880624042481314,"sparse"
"35",0.772727272727273,0.903301089685275,"sparse"
"36",1,1,"sparse"
"37",0.75,0.919650526725191,"sparse"
"38",0.788461538461538,0.888998933721148,"sparse"
"39",0.781609195402299,0.885006437255288,"sparse"
"40",0.754716981132076,0.898976289119086,"sparse"
"41",0.701298701298701,0.876337484030705,"sparse"
"42",0.734375,0.917112897205035,"sparse"
"43",0.864864864864865,0.963767358816752,"sparse"
"44",0.786666666666667,0.915420721138767,"sparse"
"45",0.73469387755102,0.785474823734795,"sparse"
"46",0.716666666666667,0.899135317830645,"sparse"
"47",0.607594936708861,0.808302850832895,"sparse"
"48",0.779220779220779,0.828971612092331,"sparse"
"49",0.8,0.856996771828381,"sparse"
"50",0.77027027027027,0.880452375572372,"sparse"
"51",0.882352941176471,0.969332201313548,"sparse"
"52",0.96551724137931,0.988866710715177,"sparse"
"53",0.916666666666667,0.974335624971853,"sparse"
"54",0.964285714285714,0.999785154151896,"sparse"
"55",0.914285714285714,0.958589106293893,"sparse"
"56",0.75609756097561,0.932990374675939,"sparse"
"57",0.82,0.933301352066778,"sparse"
"58",0.838235294117647,0.940989047928659,"sparse"
"59",0.845070422535211,0.993350227952506,"sparse"
"60",0.789473684210526,0.947088880379263,"sparse"
"61",0.796610169491525,0.952837727473144,"sparse"
"62",0.77124183006536,0.920864028518072,"sparse"
"63",0.787234042553192,0.936320232152111,"sparse"
"64",0.785714285714286,0.931622084736903,"sparse"
"65",0.796296296296296,0.910265684060572,"sparse"
"66",1,1,"sparse"
"67",0.641791044776119,0.871378248018748,"sparse"
"68",0.711538461538462,0.850756216346034,"sparse"
"69",0.895833333333333,0.96732365104872,"sparse"
"70",0.73972602739726,0.902900700244062,"sparse"
"71",0.857142857142857,0.891981605800089,"sparse"
"72",0.761904761904762,0.889012313485649,"sparse"
"73",0.866666666666667,0.986010359650502,"sparse"
"74",0.9375,0.999518145034674,"sparse"
"75",0.9,0.9688274919262,"sparse"
"76",0.816666666666667,0.935568617299352,"sparse"
"77",0.670731707317073,0.8456810830709,"sparse"
"78",0.728260869565217,0.875235143602215,"sparse"
"79",0.75,0.950324843085544,"sparse"
"80",0.785714285714286,0.878136890817127,"sparse"
"81",0.753246753246753,0.949834848751906,"sparse"
"82",0.8,0.942799618569919,"sparse"
"83",0.682926829268293,0.916012648727775,"sparse"
"84",0.909090909090909,0.945389771970884,"sparse"
"85",0.701923076923077,0.900138742202931,"sparse"
"86",0.540816326530612,0.731440089590514,"sparse"
"87",0.833333333333333,0.954148735086476,"sparse"
"88",0.771929824561403,0.916152044583081,"sparse"
"89",0.837837837837838,0.985660854859499,"sparse"
"90",0.833333333333333,0.915262359518558,"sparse"
"91",0.807692307692308,0.904894321356769,"sparse"
"92",0.8125,0.937461290323067,"sparse"
"93",0.771428571428571,0.990831487861568,"sparse"
"94",0.73015873015873,0.920651727257632,"sparse"
"95",0.758064516129032,0.956147388011051,"sparse"
"96",0.826923076923077,0.945394146262744,"sparse"
"97",0.763157894736842,0.926143894738404,"sparse"
"98",0.779661016949153,0.923944922734194,"sparse"
"99",0.773584905660377,0.934165301232733,"sparse"
"100",0.737373737373737,0.88024306718069,"sparse"
"101",0.612,0.897248820066088,"dense"
"102",0.710526315789474,0.926761610257809,"dense"
"103",0.640718562874252,0.934352597211617,"dense"
"104",0.592715231788079,0.928354787296925,"dense"
